Accommodates;Availability 30;Availability 365;Bathrooms;Bedrooms;Beds;Calculated host listings count;Cleaning Fee;Extra People;Guests Included;Maximum Nights;Minimum Nights;Monthly Price;Número de registros;Number of Reviews;Price;Review Scores Accuracy;Review Scores Checkin;Review Scores Cleanliness;Review Scores Communication;Review Scores Location;Review Scores Rating;Review Scores Value;Reviews per Month;Security Deposit;SquareM2;Weekly Price;Neighbourhood_mean_enc;Neighbourhood_Cleansed_mean_enc;Neighbourhood_Group_Cleansed_mean_enc;State_mean_enc;Zipcode_mean_enc;Market_mean_enc;Country_Code_mean_enc;Property_Type_mean_enc;Room_Type_mean_enc;Bed_Type_mean_enc;Calendar_Updated_mean_enc;Cancellation_Policy_mean_enc
4;2;54;1.0;2.0;3.0;1;30.0;0;1;1125;2;1349.1429632380245;1;7;79.0;10.0;10.0;10.0;10.0;9.0;97.0;9.0;1.2;200.0;33.591561154449764;369.0396443127084;41.754901960784316;49.391304347826086;37.275862068965516;65.7026598852724;42.82539682539682;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;61.81529135724089;75.92205855240526
2;0;281;1.0;1.0;1.0;1;20.0;0;1;1125;2;1200.0;1;25;65.0;9.0;9.0;9.0;9.0;9.0;88.0;9.0;1.06;184.25038605779838;33.591561154449764;369.0396443127084;64.22;63.58904109589041;75.27106227106228;65.7026598852724;63.58646616541353;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;56.48760330578512;62.6527209814407
2;13;144;2.0;1.0;1.0;6;29.684927169094365;15;1;30;3;1349.1429632380245;1;19;25.0;10.0;10.0;10.0;10.0;10.0;95.0;10.0;3.22;85.0;33.591561154449764;369.0396443127084;69.59787738125293;60.089362770394956;72.53040418364307;65.7026598852724;67.71691655276966;66.0899232302445;66.24000746440058;67.81462841714821;34.44038307727379;66.53144502406364;59.3462441314554;57.89649835409329
1;4;71;1.0;1.0;1.0;1;20.0;0;1;1125;2;1349.1429632380245;1;0;19.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;46.73770491803279;46.559322033898304;46.43317230273752;65.7026598852724;67.71691655276966;66.0899232302445;66.24000746440058;59.156670716928154;34.44038307727379;66.53144502406364;59.74803149606299;62.6527209814407
1;0;15;1.0;1.0;1.0;3;29.684927169094365;0;1;1125;30;400.0;1;0;17.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;69.59787738125293;55.735849056603776;85.20124262897987;65.7026598852724;49.98095238095238;66.0899232302445;66.24000746440058;59.156670716928154;34.44038307727379;66.53144502406364;59.3462441314554;57.89649835409329
2;5;319;1.0;1.0;1.0;51;32.0;11;2;1125;4;1512.0;1;16;76.0;7.0;8.0;7.0;6.0;9.0;68.0;6.0;0.29;200.0;33.591561154449764;417.0;81.37124463519314;79.67575757575757;72.53040418364307;65.6;73.11506849315069;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;84.08147080028839;62.6527209814407
5;20;81;2.0;3.0;4.0;1;30.0;0;1;1125;1;1349.1429632380245;1;0;170.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;132.11458333333334;135.77955474562128;85.20124262897987;65.7026598852724;124.37368421052632;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;57.072463768115945;57.89649835409329
2;0;281;0.0;1.0;2.0;14;29.684927169094365;0;1;1125;1;1349.1429632380245;1;0;39.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;63.6996443234253;65.21580434467744;67.3867473880209;65.7026598852724;66.62776078604058;66.0899232302445;66.24000746440058;59.156670716928154;34.44038307727379;66.53144502406364;52.06862184695183;57.89649835409329
3;24;359;1.0;1.0;1.0;2;29.684927169094365;0;1;1125;1;1349.1429632380245;1;3;85.0;9.0;8.0;7.0;10.0;10.0;90.0;9.0;0.88;184.25038605779838;33.591561154449764;369.0396443127084;69.59787738125293;85.81889763779527;74.19843342036553;65.7026598852724;60.71398747390397;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;57.39763779527559;57.89649835409329
6;10;334;1.0;2.0;3.0;10;20.0;10;2;1125;4;1690.0;1;4;79.0;10.0;10.0;10.0;10.0;10.0;90.0;9.0;0.49;184.25038605779838;33.591561154449764;490.0;69.59787738125293;79.67575757575757;72.53040418364307;65.7026598852724;73.11506849315069;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;56.78252831670067;75.92205855240526
